"document","term_count"
"doc2",49
"doc11",92
"doc29",55
"doc6",62
"doc1",34
"doc14",30
"doc15",12
"doc17",54
"doc20",91
"doc38",39
"doc10",5
"doc16",25
"doc18",34
"doc19",7
"doc21",17
"doc25",23
"doc27",21
"doc35",18
"doc8",25
"doc12",12
"doc13",6
"doc22",6
"doc23",4
"doc24",1
"doc26",14
"doc28",15
"doc3",21
"doc30",23
"doc31",4
"doc32",11
"doc33",2
"doc34",9
"doc36",4
"doc37",7
"doc4",9
"doc5",2
"doc7",17
"doc9",6
